ew,Type,Nation1,Nation2,Nation3 ,Nation4,Nation5,Nation6,Nation7,Nation8,Nation9,Nation10,Nation11,Nation12,,Band1,Band2,Band3,Band4,,,,Place,State,Date,DemallieDeloria,URL,Comments
V0001,Operable,Six Nations,,,,,,,,,,,,,,,,,,,,Fort Stanwix,NY,10-22-1784,183,http://digital.library.okstate.edu/kappler/Vol2/treaties/nat0005.htm,
V0002,Operable,Wyandot,Delaware,Chippewa,Ottawa,,,,,,,,,,,,,,,,,Fort McIntosh,PA,01-21-1785,183,http://digital.library.okstate.edu/kappler/Vol2/treaties/wya0006.htm,
V0003,Operable,Cherokee,,,,,,,,,,,,,,,,,,,,Hopewell,SC,11-28-1785,183,http://digital.library.okstate.edu/kappler/Vol2/treaties/che0008.htm,
V0004,Operable,Choctaw,,,,,,,,,,,,,,,,,,,,Hopewell,SC,01-03-1786,183,http://digital.library.okstate.edu/kappler/Vol2/treaties/cho0011.htm,
V0005,Operable,Chickasaw,,,,,,,,,,,,,,,,,,,,Hopewell,SC,01-10-1786,183,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0014.htm,
V0006,Operable,Shawnee,,,,,,,,,,,,,,,,,,,,Mouth of Great Miami River,OH,01-31-1786,183,http://digital.library.okstate.edu/kappler/Vol2/treaties/sha0016.htm,
V0007,Operable,Wyandot,Delaware,Ottawa,Chippewa,Potawatomi,Six Nations,,,,,,,,,,,,,,,Fort Harmar,OH,01-09-1789,183,http://digital.library.okstate.edu/kappler/Vol2/treaties/wya0018.htm,
V0008,Operable,Six Nations,,,,,,,,,,,,,,,,,,,,Fort Harmar,OH,01-09-1789,183,http://digital.library.okstate.edu/kappler/Vol2/treaties/six0023.htm,
V0009,Operable,Creek,,,,,,,,,,,,,,,,,,,,New York City,NY,08-07-1790,183,http://digital.library.okstate.edu/kappler/Vol2/treaties/cre0025.htm,
V0010,Operable,Cherokee,,,,,,,,,,,,,,,,,,,,Holston River,TN,07-02-1791,183,http://digital.library.okstate.edu/kappler/Vol2/treaties/che0029.htm,
V0011,Operable,Cherokee,,,,,,,,,,,,,,,,,,,,Philadelphia,PA,02-17-1792,183,http://digital.library.okstate.edu/kappler/Vol2/treaties/che0029.htm,
V0012,Operable,Cherokee,,,,,,,,,,,,,,,,,,,,Philadelphia,PA,06-26-1794,183,http://digital.library.okstate.edu/kappler/Vol2/treaties/che0033.htm,
